order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
7,โฉนด,1758,1389,1438.0,01A005,2.0,1.0,8.7,908.7,0.0,0.0,0.0,0.0,agriculture
45,โฉนด,146920,1777,6581.0,01A027/001,0.0,0.0,35.9,35.9,0.0,0.0,0.0,0.0,agriculture
73,โฉนด,72196,13,4403.0,01A044/002,0.0,0.0,84.1,84.1,0.0,0.0,0.0,0.0,agriculture
98,โฉนด,112915,26,5057.0,01B010/002,0.0,0.0,6.1,6.1,0.0,0.0,0.0,0.0,agriculture
123,โฉนด,2313,292,1397.0,01B033,0.0,0.0,67.1,67.1,0.0,0.0,0.0,0.0,agriculture
129,โฉนด,2823,289,1884.0,01B039,0.0,1.0,37.0,137.0,0.0,0.0,0.0,0.0,agriculture
135,โฉนด,1976,305,1390.0,01B044,0.0,2.0,34.3,234.3,0.0,0.0,0.0,0.0,agriculture
145,โฉนด,1325,319,1384.0,01C004,0.0,3.0,11.1,311.1,0.0,0.0,0.0,0.0,agriculture
149,โฉนด,87180,35,4791.0,01C004/004,0.0,0.0,14.2,14.2,0.0,0.0,0.0,0.0,agriculture
153,โฉนด,1321,339,1380.0,01C008,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,agriculture
164,โฉนด,1272,357,1375.0,01C019,0.0,1.0,49.5,149.5,0.0,0.0,0.0,0.0,agriculture
166,โฉนด,66790,2562,4280.0,01C019/002,0.0,0.0,51.7,51.7,0.0,0.0,0.0,0.0,agriculture
170,โฉนด,1273,356,1374.0,01C021,0.0,1.0,73.6,173.6,0.0,0.0,0.0,0.0,agriculture
173,โฉนด,10538,358,2432.0,01C024,0.0,1.0,93.4,193.4,0.0,0.0,0.0,0.0,agriculture
174,โฉนด,2701,355,1866.0,01C025,0.0,1.0,42.7,142.7,0.0,0.0,0.0,0.0,agriculture
220,โฉนด,67537,2530,4324.0,01D001/006,0.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,agriculture
242,โฉนด,67066,2581,4284.0,01D016/001,0.0,0.0,81.6,81.6,0.0,0.0,0.0,0.0,agriculture
257,โฉนด,86903,23,4779.0,01D018/002,0.0,0.0,51.9,51.9,0.0,0.0,0.0,0.0,agriculture
334,โฉนด,19770,647,3089.0,01D060,0.0,0.0,9.1,9.1,0.0,0.0,0.0,0.0,agriculture
340,โฉนด,29203,532,3596.0,01E003/003,0.0,0.0,46.2,46.2,0.0,0.0,0.0,0.0,agriculture
383,โฉนด,800,1034,1113.0,01E020,0.0,3.0,24.8,324.8,0.0,0.0,0.0,0.0,agriculture
416,โฉนด,295,1056,619.0,01E040,0.0,0.0,65.5,65.5,0.0,0.0,0.0,0.0,agriculture
421,โฉนด,301,1047,607.0,01E043,0.0,0.0,92.4,92.4,0.0,0.0,0.0,0.0,agriculture
425,โฉนด,305,1046,608.0,01E044,0.0,2.0,14.9,214.9,0.0,0.0,0.0,0.0,agriculture
427,โฉนด,23022,1044,3186.0,01E045/001,0.0,0.0,99.1,99.1,0.0,0.0,0.0,0.0,agriculture
437,โฉนด,2757,1043,614.0,01E054,2.0,0.0,36.7,836.7,0.0,0.0,0.0,0.0,agriculture
440,โฉนด,98028,31,4939.0,01F002/001,0.0,0.0,28.7,28.7,0.0,0.0,0.0,0.0,agriculture
442,โฉนด,122007,2541,5236.0,01F003/001,0.0,0.0,28.9,28.9,0.0,0.0,0.0,0.0,agriculture
