order,type,document_number,pracel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
1,โฉนด,1181,1384,1441.0,01A002,1.0,0.0,38.7,0.0,438.7,0.0,0.0,0.0,living
2,โฉนด,1755,1386,1439.0,01A003,0.0,0.0,75.5,0.0,75.5,0.0,0.0,0.0,living
3,โฉนด,85625,37,4752.0,01A003/001,0.0,0.0,75.5,0.0,75.5,0.0,0.0,0.0,living
4,โฉนด,85626,38,4753.0,01A003/002,0.0,0.0,75.5,0.0,75.5,0.0,0.0,0.0,living
5,โฉนด,1402,1385,1440.0,01A004,0.0,1.0,20.7,0.0,0.0,0.0,0.0,120.7,misc
6,โฉนด,1758,1389,1438.0,01A005,2.0,1.0,8.7,908.7,0.0,0.0,0.0,0.0,agriculture
7,โฉนด,2050,1390,1435.0,01A006,0.0,0.0,93.0,0.0,0.0,0.0,93.0,0.0,wasteland
8,โฉนด,1795,1388,1436.0,01A007,0.0,1.0,51.0,0.0,151.0,0.0,0.0,0.0,living
9,โฉนด,61758,61,4000.0,01A007/001,0.0,1.0,46.9,0.0,144.7,2.25,0.0,0.0,living
10,โฉนด,1844,1387,1437.0,01A008,0.0,0.0,42.5,0.0,42.5,0.0,0.0,0.0,living
11,โฉนด,131312,1715,5518.0,01A008/001,0.0,0.0,85.0,0.0,66.0,19.0,0.0,0.0,living
12,โฉนด,142848,1743,6484.0,01A008/002,0.0,0.0,42.5,0.0,0.0,42.5,0.0,0.0,other
13,โฉนด,2819,1395,1848.0,01A009,0.0,1.0,1.7,0.0,0.0,0.0,101.7,0.0,wasteland
14,โฉนด,26931,1394,3453.0,01A009/001,0.0,0.0,99.3,0.0,0.0,0.0,99.3,0.0,wasteland
15,โฉนด,26930,1393,3452.0,01A009/002,0.0,0.0,82.5,0.0,0.0,0.0,82.5,0.0,wasteland
16,โฉนด,5840,1392,2068.0,01A010,0.0,0.0,98.3,0.0,98.3,0.0,0.0,0.0,living
17,โฉนด,2820,1391,1849.0,01A011,0.0,0.0,65.6,0.0,0.0,65.6,0.0,0.0,other
18,โฉนด,1415,1423,1425.0,01A012,0.0,2.0,13.3,0.0,213.2,0.0,0.0,0.0,living
19,โฉนด,29372,1422,3608.0,01A012/001,0.0,1.0,15.3,0.0,115.3,0.0,0.0,0.0,living
20,โฉนด,29371,1421,3607.0,01A012/002,0.0,0.0,78.6,0.0,78.6,0.0,0.0,0.0,living
21,โฉนด,29373,1424,3609.0,01A012/003,0.0,0.0,66.2,0.0,66.2,0.0,0.0,0.0,living
22,โฉนด,1845,1440,1434.0,01A013,0.0,0.0,53.4,0.0,53.4,0.0,0.0,0.0,living
23,โฉนด,81535,33,5638.0,01A013/001,0.0,0.0,62.4,0.0,62.4,0.0,0.0,0.0,living
24,โฉนด,7567,1441,2163.0,01A014,0.0,0.0,22.3,0.0,22.3,0.0,0.0,0.0,living
25,โฉนด,89337,42,4824.0,01A014/001,0.0,0.0,45.8,0.0,0.0,0.0,0.0,45.8,misc
26,โฉนด,1200,1439,1433.0,01A015,0.0,0.0,66.3,0.0,0.0,66.3,0.0,0.0,other
27,โฉนด,2001,1420,1424.0,01A016,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,wasteland
28,โฉนด,83425,1704,4650.0,01A016/001,0.0,0.0,52.6,0.0,52.6,0.0,0.0,0.0,living
29,โฉนด,1199,1425,1430.0,01A017,0.0,0.0,88.1,0.0,52.6,0.0,0.0,0.0,living
30,โฉนด,80057,31,4549.0,01A017/001,0.0,0.0,79.7,0.0,79.7,0.0,0.0,0.0,living
31,โฉนด,80056,254,9234.0,01A017/002,0.0,0.0,77.3,0.0,0.0,77.3,0.0,0.0,other
32,โฉนด,1124,1437,1431.0,01A018,0.0,0.0,63.3,0.0,0.0,63.3,0.0,0.0,other
33,โฉนด,1198,1436,1432.0,01A019,0.0,0.0,29.3,0.0,0.0,29.3,0.0,0.0,other
34,โฉนด,29662,1438,3673.0,01A019/001,0.0,0.0,21.8,0.0,0.0,21.8,0.0,0.0,other
35,โฉนด,2000,1435,1429.0,01A020,0.0,1.0,57.9,0.0,0.0,157.9,0.0,0.0,other
36,โฉนด,11766,1419,2586.0,01A021,0.0,0.0,99.2,0.0,0.0,99.2,0.0,0.0,other
37,โฉนด,11765,1418,2585.0,01A022,0.0,1.0,7.2,0.0,0.0,107.2,0.0,0.0,other
38,โฉนด,1315,1417,1423.0,01A023,0.0,1.0,82.9,0.0,182.9,0.0,0.0,0.0,living
39,โฉนด,1998,1416,1422.0,01A024,0.0,0.0,94.5,0.0,94.5,0.0,0.0,0.0,living
40,โฉนด,1992,1415,1421.0,01A025,0.0,1.0,4.1,0.0,104.1,0.0,0.0,0.0,living
41,โฉนด,1346,1413,1419.0,01A026,0.0,1.0,43.2,0.0,127.45,15.75,0.0,0.0,living
42,โฉนด,70207,1,4360.0,01A026/001,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,living
43,โฉนด,2036,1414,1420.0,01A027,0.0,1.0,35.9,0.0,135.9,0.0,0.0,0.0,living
44,โฉนด,10703,1412,2448.0,01A028,0.0,1.0,58.9,0.0,158.9,0.0,0.0,0.0,living
45,โฉนด,1289,541,1418.0,01A029,0.0,0.0,72.0,0.0,72.0,0.0,0.0,0.0,living
46,โฉนด,133139,1716,5885.0,01A029/001,0.0,0.0,66.1,0.0,66.1,0.0,0.0,0.0,living
47,โฉนด,10674,542,2449.0,01A030,0.0,1.0,29.9,0.0,129.9,0.0,0.0,0.0,living
48,โฉนด,2009,1426,1428.0,01A031,0.0,0.0,85.3,0.0,85.3,0.0,0.0,0.0,living
49,โฉนด,2010,1427,1738.0,01A032,0.0,0.0,81.4,0.0,81.4,0.0,0.0,0.0,living
50,โฉนด,1372,1433,5392.0,01A033,0.0,0.0,84.8,84.8,0.0,0.0,0.0,0.0,agriculture
51,โฉนด,1342,1428,1426.0,01A034,0.0,0.0,87.7,0.0,87.7,0.0,0.0,0.0,living
52,โฉนด,2656,1430,1850.0,01A035,0.0,0.0,43.8,0.0,43.8,0.0,0.0,0.0,living
53,โฉนด,18868,1432,3046.0,01A036,0.0,0.0,24.2,0.0,0.0,0.0,0.0,24.2,misc
