ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
2,โฉนด,1722,897.0,1476.0,03A002,0.0,0.0,50.0,50.0,-,-,-,-,ประกอบเกษตรกรรม
111,โฉนด,1401,1273.0,1199.0,03D013,0.0,1.0,52.1,152.1,-,-,-,-,ประกอบเกษตรกรรม
112,โฉนด,27705,1272.0,3504.0,03D013/001,0.0,1.0,61.1,161.1,-,-,-,-,ประกอบเกษตรกรรม
116,โฉนด,1875,1279.0,1193.0,03D015,0.0,2.0,11.1,211.1,-,-,-,-,ประกอบเกษตรกรรม
124,โฉนด,66403,176.0,4117.0,03D019/001,0.0,1.0,65.8,165.8,-,-,-,-,ประกอบเกษตรกรรม
193,โฉนด,782,1333.0,1180.0,03D080,0.0,0.0,72.3,72.3,-,-,-,-,ประกอบเกษตรกรรม
314,โฉนด,784,1384.0,1138.0,03F004,0.0,1.0,42.3,142.3,-,-,-,-,ประกอบเกษตรกรรม
330,โฉนด,26504,1392.0,3439.0,03F011/002,0.0,0.0,87.6,87.6,-,-,-,-,ประกอบเกษตรกรรม
344,โฉนด,28215,1460.0,3548.0,03F017/001,0.0,1.0,22.5,122.5,-,-,-,-,ประกอบเกษตรกรรม
384,โฉนด,1143,1418.0,1172.0,03F043,0.0,1.0,64.2,164.2,-,-,-,-,ประกอบเกษตรกรรม
385,โฉนด,2898,1419.0,1960.0,03F043/001,0.0,1.0,68.9,168.9,-,-,-,-,ประกอบเกษตรกรรม
405,โฉนด,65914,41.0,4140.0,03F054/001,1.0,0.0,-,400.0,-,-,-,-,ประกอบเกษตรกรรม
406,โฉนด,16431,1435.0,2982.0,03F055,0.0,0.0,92.2,92.2,-,-,-,-,ประกอบเกษตรกรรม
429,โฉนด,1207,1442.0,1592.0,03F072,2.0,1.0,47.2,947.2,-,-,-,-,ประกอบเกษตรกรรม
431,โฉนด,142631,72.0,6482.0,03F073/001,0.0,1.0,1.0,101.0,-,-,-,-,ประกอบเกษตรกรรม
508,โฉนด,145154,55.0,6529.0,03G003/002,1.0,2.0,20.1,620.1,-,-,-,-,ประกอบเกษตรกรรม
527,โฉนด,18834,1439.0,3035.0,03G022,0.0,2.0,-,200.0,-,-,-,-,ประกอบเกษตรกรรม
657,โฉนด,364,2454.0,539.0,03H035,0.0,2.0,80.8,280.8,-,-,-,-,ประกอบเกษตรกรรม
691,โฉนด,59846,2433.0,4017.0,03H060/001,1.0,3.0,28.4,728.4,-,-,-,-,ประกอบเกษตรกรรม
726,โฉนด,272,2274.0,405.0,03H091,0.0,0.0,55.3,55.3,-,55.3,-,-,ประกอบเกษตรกรรม
727,โฉนด,45830,2273.0,3848.0,03H091/001,0.0,1.0,10.5,110.5,-,110.5,-,-,ประกอบเกษตรกรรม
728,โฉนด,45829,2275.0,3847.0,03H091/002,0.0,1.0,10.5,110.5,-,110.5,-,-,ประกอบเกษตรกรรม
729,โฉนด,45828,2276.0,3846.0,03H091/003,0.0,1.0,10.5,110.5,110.5,-,-,-,ประกอบเกษตรกรรม
730,โฉนด,97547,18.0,4927.0,03H091/004,0.0,0.0,55.3,55.3,-,55.3,-,-,ประกอบเกษตรกรรม
731,โฉนด,86501,10.0,4754.0,03H092,0.0,1.0,32.6,132.6,-,-,132.6,-,ประกอบเกษตรกรรม
732,โฉนด,69648,2.0,4337.0,03H093,0.0,1.0,35.3,135.3,-,-,135.3,-,ประกอบเกษตรกรรม
733,โฉนด,30634,2508.0,3560.0,03H094,0.0,3.0,53.9,353.9,-,-,353.9,-,ประกอบเกษตรกรรม
734,โฉนด,30549,2507.0,3559.0,03H095,0.0,1.0,99.2,199.2,-,-,199.2,-,ประกอบเกษตรกรรม
735,โฉนด,29016,2506.0,3561.0,03H096,0.0,2.0,37.4,237.4,-,-,237.4,-,ประกอบเกษตรกรรม
736,โฉนด,69998,2560.0,4106.0,03H097,0.0,1.0,15.4,115.4,-,-,115.4,-,ประกอบเกษตรกรรม
