order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
1,โฉนด,1181,1384,1441,01A002,1,0,38.7,438.7,438.7,,,
2,โฉนด,1755,1386,1439,01A003,0,0,75.5,,75.5,,,
3,โฉนด,85625,37,4752,01A003/001,0,0,75.5,,75.5,,,
4,โฉนด,85626,38,4753,01A003/002,0,0,75.5,,75.5,,,
5,โฉนด,1402,1385,1440,01A004,0,1,20.7,,,120.7,,
6,โฉนด,1758,1389,1438,01A005,2,1,8.7,908.7,,,,
7,โฉนด,2050,1390,1435,01A006,0,0,93,,,,93,
8,โฉนด,1795,1388,1436,01A007,0,1,51,,,151,,
9,โฉนด,61758,61,4000,01A007/001,0,1,46.9,,,146.9,,
10,โฉนด,1844,1387,1437,01A008,0,0,42.5,,42.5,,,
11,โฉนด,131312,1715,5518,01A008/001,0,0,85,,66,19,,
12,โฉนด,142848,1743,6484,01A008/002,0,0,42.5,,,42.5,,
13,โฉนด,26930,1393,3452,01A009/002,0,0,82.5,,,,82.5,
14,โฉนด,5840,1392,2068,01A010,0,0,98.3,,,98.3,,
15,โฉนด,2820,1391,1849,01A011,0,0,65.6,,,65.6,,
16,โฉนด,1415,1423,1425,01A012,0,2,13.3,,213.2,,,
17,โฉนด,29372,1422,3608,01A012/001,0,1,15.3,,115.3,,,
18,โฉนด,29371,1421,3607,01A012/002,0,0,78.6,,78.6,,,
19,โฉนด,29373,1424,3609,01A012/003,0,0,66.2,,66.2,,,
20,โฉนด,1845,1440,1434,01A013,0,0,53.4,,53.4,,,
21,โฉนด,81535,33,5638,01A013/001,0,0,62.4,,,62.4,,
22,โฉนด,7567,1441,2163,01A014,0,0,22.3,,22.3,,,
23,โฉนด,89337,42,4824,01A014/001,0,0,45.8,,,45.8,,
24,โฉนด,1200,1439,1433,01A015,0,0,66.3,,,66.3,,
25,โฉนด,2001,1420,1424,01A016,0,0,50,,50,,,
26,โฉนด,83425,1704,4650,01A016/001,0,0,52.6,,,52.6,,
27,โฉนด,1199,1425,1430,01A017,0,0,88.1,,,52.6,,
28,โฉนด,80057,31,4549,01A017/001,0,0,79.7,,79.7,,,
29,โฉนด,80056,254,9234,01A017/002,0,0,77.3,,,77.3,,
30,โฉนด,1124,1437,1431,01A018,0,0,63.3,,,63.3,,
31,โฉนด,1198,1436,1432,01A019,0,0,29.3,,,29.3,,
32,โฉนด,29662,1438,3673,01A019/001,0,0,21.8,,,21.8,,
33,โฉนด,2000,1435,1429,01A020,0,1,57.9,,,157.9,,
34,โฉนด,11766,1419,2586,01A021,0,0,99.2,,,99.2,,
35,โฉนด,11765,1418,2585,01A022,0,1,7.2,,,107.2,,
36,โฉนด,1315,1417,1423,01A023,0,1,82.9,,,182.9,,
37,โฉนด,1998,1416,1422,01A024,0,0,94.5,,,94.5,,
38,โฉนด,1992,1415,1421,01A025,0,1,4.1,,,104.1,,
39,โฉนด,1346,1413,1419,01A026,0,1,43.2,,120.5,22.75,,
40,โฉนด,70207,1,4360,01A026/001,0,0,33.3,33.3,,,,
41,โฉนด,2036,1414,1420,01A027,0,1,35.9,,,135.9,,
42,โฉนด,10703,1412,2448,01A028,0,1,58.9,,158.9,,,
43,โฉนด,133139,1716,5885,01A029/001,0,0,66.1,,66.1,,,
44,โฉนด,10674,542,2449,01A030,0,1,29.9,,129.9,,,
45,โฉนด,2009,1426,1428,01A031,0,0,85.3,,,85.3,,
46,โฉนด,2010,1427,1738,01A032,0,0,81.4,,,81.4,,
47,โฉนด,1372,1433,5392,01A033,0,0,84.8,,,84.8,,
48,โฉนด,1342,1428,1426,01A034,0,0,87.7,,87.7,,,
49,โฉนด,2656,1430,1850,01A035,0,0,43.8,,43.8,,,
50,โฉนด,18868,1432,3046,01A036,0,0,24.2,,,24.2,,
51,โฉนด,63835,30,4119,01A036/001,0,0,21.9,,,21.9,,
52,โฉนด,63834,29,4118,01A036/002,0,0,21,,,21,,
53,โฉนด,25211,1429,3284,01A037,0,0,42.6,,,42.6,,
54,โฉนด,18867,1431,3045,01A038,0,0,63.2,,63.2,,,
55,โฉนด,66359,534,4189,01A039,0,0,86.8,,,86.8,,
56,โฉนด,66356,531,4186,01A039/001,0,0,33.8,,,33.8,,
57,โฉนด,66357,532,4187,01A039/002,0,0,22.6,,,22.6,,
58,โฉนด,66358,533,4188,01A039/003,0,0,21.5,,,21.5,,
59,โฉนด,1150,543,1577,01A039/004,0,0,77.2,,,77.2,,
60,โฉนด,1176,1310,156,01A040,0,2,46.2,,197.2,49,,
61,โฉนด,89706,1,7338,01A040/001,0,1,0,,100,,,
62,โฉนด,71939,1719,7524,01A040/002,0,0,47.6,,47.6,,,
63,โฉนด,1177,1311,155,01A041,0,1,59.1,,,159.1,,
64,โฉนด,2056,1312,731,01A042,0,0,41.1,,,41.1,,
65,โฉนด,1923,1313,6301,01A043,0,0,89.1,,89.1,,,
66,โฉนด,1184,1315,152,01A044,0,2,69.8,,,269.8,,
67,โฉนด,94572,1705,10543,01A044/001,0,0,90.7,,90.7,,,
68,โฉนด,72196,1411,,01A044/002,0,0,84.1,84.1,,,,
69,โฉนด,1180,1316,151,01A045,0,1,0.05,,,100.1,,
70,โฉนด,1148,1317,5953,01A046,0,0,38.8,,38.8,,,
71,โฉนด,139346,1738,6255,01A046/001,0,0,19.9,,,19.9,,
72,โฉนด,139347,1739,6256,01A046/002,0,0,19.8,,,19.8,,
73,โฉนด,139348,1740,6257,01A046/003,0,0,19.7,,,19.7,,
74,โฉนด,139354,1741,6261,01A046/004,0,0,19.6,,,19.6,,
75,โฉนด,138962,1725,3213,01A046/005,0,0,19.6,,,19.6,,
76,โฉนด,139342,1735,6251,01A046/006,0,0,20.2,,,20.2,,
77,โฉนด,139343,1736,6252,01A046/007,0,0,206,,,206,,
78,โฉนด,139344,1737,6253,01A046/008,0,0,21,,,21,,
79,โฉนด,138961,1724,3212,01A046/009,0,0,42.3,,,42.3,,
80,โฉนด,15563,1314,3214,01A047,0,1,151.8,,151.8,,,
81,โฉนด,8836,232,2363,01B001,0,0,84.4,,,84.4,,
82,โฉนด,8835,547,2362,01B002,0,0,84.3,,,84.3,,
83,โฉนด,8834,546,2361,01B003,0,0,83.3,,83.3,,,
84,โฉนด,1646,545,1416,01B004,0,1,19.1,,119.1,,,
85,โฉนด,1790,544,1417,01B005,0,1,24.2,,76.1,48.13,,
86,โฉนด,1912,233,1415,01B006,0,1,152.6,,152.6,,,
87,โฉนด,8837,548,2364,01B007,0,0,63.4,,,63.4,,
88,โฉนด,107981,53,5048,01B007/001,0,0,63.3,,,63.3,,
89,โฉนด,1906,549,1414,01B008,0,0,89.7,,,89.7,,
90,โฉนด,1104,550,1443,01B009,0,3,324.3,,,324.3,,
91,โฉนด,2342,234,1413,01B010,0,0,89.5,,89.5,,,
92,โฉนด,112916,27,5058,01B010/001,0,0,83.4,,,83.4,,
93,โฉนด,112915,26,5057,01B010/002,0,0,6.1,,,,6.1,
94,โฉนด,7218,551,2099,01B011,0,0,59.9,,59.9,,,
95,โฉนด,2214,235,1412,01B012,0,2,4.6,,204.6,,,
96,โฉนด,2339,552,1669,01B013,0,0,37.2,,,37.2,,
97,โฉนด,1484,236,1411,01B014,0,3,47.1,,347.1,,,
98,โฉนด,2333,238,1407,01B015,0,1,14.7,,,,114.7,
99,โฉนด,86747,33,4767,01B015/001,0,1,14.6,,114.6,,,
100,โฉนด,1477,237,1408,01B016,0,1,2.6,,,102.6,,
101,โฉนด,1662,553,1410,01B017,0,0,87.4,,,87.4,,
102,โฉนด,18679,239,3030,01B018,0,0,72.7,,72.7,,,
103,โฉนด,86746,32,4766,01B018/001,0,0,28.4,,28.4,,,
104,โฉนด,2296,240,1409,01B020,0,0,30.3,,30.3,,,
105,โฉนด,1287,244,1406,01B021,0,2,58.7,,258.7,,,
106,โฉนด,25302,241,3308,01B022,0,0,34.5,,,34.5,,
107,โฉนด,25303,242,3309,01B023,0,0,14.9,,,14.9,,
108,โฉนด,2004,243,1405,01B024,0,0,24.1,,,24.1,,
109,โฉนด,1213,246,1403,01B025,0,0,94.8,,94.8,,,
110,โฉนด,50767,247,3917,01B025/001,0,0,97.4,,,97.4,,
111,โฉนด,1286,245,1404,01B026,0,0,52.8,,,52.8,,
112,โฉนด,1212,293,1402,01B027,0,1,34.4,,134.4,,,
113,โฉนด,1209,294,1401,01B028,0,1,6.7,,,106.7,,
114,โฉนด,1965,295,1761,01B029,0,0,67.2,,,67.2,,
115,โฉนด,1333,296,1400,01B030,0,0,81.1,,72.1,9,,
116,โฉนด,1900,297,1399,01B031,0,0,65.4,,,65.4,,
117,โฉนด,1159,291,1396,01B032,0,2,73.4,,236.7,36.75,,
118,โฉนด,2313,292,1397,01B033,0,0,67.1,,,,67.1,
119,โฉนด,3143,298,2025,01B034,0,0,85,,,85,,
120,โฉนด,1118,299,1398,01B035,0,0,77.8,,,77.8,,
121,โฉนด,1105,290,1395,01B036,0,0,39.1,,39.1,,,
122,โฉนด,2743,287,1394,01B037,0,2,10.3,,,210.3,,
123,โฉนด,2822,288,1883,01B038,0,1,32.8,,,132.8,,
124,โฉนด,2823,289,1884,01B039,0,1,33,133,,,,
125,โฉนด,1106,300,1393,01B040,0,0,78.5,,,78.5,,
126,โฉนด,1155,302,1392,01B041,0,0,49.3,,,49.3,,
127,โฉนด,7774,301,2076,01B041/001,0,0,48.2,,,48.2,,
128,โฉนด,1115,303,1391,01B042,0,1,49.8,,,149.8,,
129,โฉนด,6980,304,2094,01B043,0,1,40.5,,,140.5,,
130,โฉนด,1976,305,1390,01B044,0,2,34.3,234.3,,,,
131,โฉนด,73936,12,4435,01B044/001,0,0,95.4,,95.4,,,
132,โฉนด,19205,310,3082,01B045,0,0,56,,,56,,
