ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
6,โฉนด,1758,1389,1438.0,01A005,2.0,1.0,8.7,908.7,-,-,-,-,ประกอบเกษตรกรรม
50,โฉนด,1372,1433,5392.0,01A033,0.0,0.0,84.8,84.8,-,-,-,-,ประกอบเกษตรกรรม
71,โฉนด,72196,1411,-,01A044/002,0.0,0.0,84.1,84.1,-,-,-,-,ประกอบเกษตรกรรม
96,โฉนด,112915,26,5057.0,01B010/002,0.0,0.0,6.1,6.1,-,-,-,-,ประกอบเกษตรกรรม
122,โฉนด,2313,292,1397.0,01B033,0.0,0.0,67.1,67.1,-,-,-,-,ประกอบเกษตรกรรม
128,โฉนด,2823,289,1884.0,01B039,0.0,1.0,33.0,133.0,-,-,-,-,ประกอบเกษตรกรรม
130,โฉนด,1155,302,1392.0,01B041,0.0,0.0,49.3,49.3,-,16.0,-,-,ประกอบเกษตรกรรม
131,โฉนด,7774,301,2076.0,01B041/001,0.0,0.0,48.2,48.2,-,-,-,19.13,ประกอบเกษตรกรรม
134,โฉนด,1976,305,1390.0,01B044,0.0,2.0,34.3,234.3,-,-,-,-,ประกอบเกษตรกรรม
135,โฉนด,73936,12,4435.0,01B044/001,0.0,0.0,95.4,95.4,-,-,-,-,ประกอบเกษตรกรรม
136,โฉนด,19205,310,3082.0,01B045,0.0,0.0,56.0,56.0,-,-,-,28.0,ประกอบเกษตรกรรม
137,โฉนด,19206,309,3083.0,01B046,0.0,0.0,25.2,25.2,-,-,-,14.0,ประกอบเกษตรกรรม
