ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
7,โฉนด,2050,1390,1435.0,01A006,0.0,0.0,93.0,-,-,-,93.0,-,ว่างเปล่า/ไม่ทำประโยชน์
13,โฉนด,2819,1395,1848.0,01A009,0.0,1.0,1.7,-,-,-,101.7,-,ว่างเปล่า/ไม่ทำประโยชน์
14,โฉนด,26931,1394,3453.0,01A009/001,0.0,0.0,99.3,-,-,-,99.3,-,ว่างเปล่า/ไม่ทำประโยชน์
15,โฉนด,26930,1393,3452.0,01A009/002,0.0,0.0,82.5,-,-,-,82.5,-,ว่างเปล่า/ไม่ทำประโยชน์
27,โฉนด,2001,1420,1424.0,01A016,0.0,0.0,50.0,-,-,-,50.0,-,ว่างเปล่า/ไม่ทำประโยชน์
246,โฉนด,147150,866,6590.0,01D014/006,0.0,1.0,12.1,-,-,-,112.1,-,ว่างเปล่า/ไม่ทำประโยชน์
277,โฉนด,1012,683,1082.0,01D029,0.0,2.0,20.8,-,-,-,220.8,-,ว่างเปล่า/ไม่ทำประโยชน์
339,โฉนด,822,582,1105.0,01D058,0.0,0.0,36.3,-,-,-,36.3,-,ว่างเปล่า/ไม่ทำประโยชน์
433,โฉนด,295,1056,619.0,01E040,0.0,0.0,65.5,-,-,-,65.5,-,ว่างเปล่า/ไม่ทำประโยชน์
477,โฉนด,281,1202,635.0,01F020,0.0,1.0,21.7,-,-,-,121.7,-,ว่างเปล่า/ไม่ทำประโยชน์
498,โฉนด,298,1145,586.0,01F037,0.0,2.0,15.5,-,-,-,215.5,-,ว่างเปล่า/ไม่ทำประโยชน์
508,โฉนด,317,1144,587.0,01F038,0.0,1.0,70.6,-,-,-,170.6,-,ว่างเปล่า/ไม่ทำประโยชน์
539,โฉนด,315,1208,580.0,01F043,0.0,0.0,98.5,-,-,-,98.5,-,ว่างเปล่า/ไม่ทำประโยชน์
540,โฉนด,287,1207,578.0,01F044,0.0,1.0,8.0,-,-,-,108.0,-,ว่างเปล่า/ไม่ทำประโยชน์
542,โฉนด,73464,10,4408.0,01F045/001,0.0,0.0,89.9,-,-,-,89.9,-,ว่างเปล่า/ไม่ทำประโยชน์
544,โฉนด,336,1205,577.0,01F049,0.0,0.0,70.9,-,-,-,70.9,-,ว่างเปล่า/ไม่ทำประโยชน์
545,โฉนด,562,1206,1698.0,01F050,0.0,0.0,78.5,-,-,-,78.5,-,ว่างเปล่า/ไม่ทำประโยชน์
549,โฉนด,318,1204,576.0,01F054,0.0,0.0,43.9,-,-,-,43.9,-,ว่างเปล่า/ไม่ทำประโยชน์
553,โฉนด,377,2163,575.0,01F055,0.0,1.0,12.5,-,-,-,112.5,-,ว่างเปล่า/ไม่ทำประโยชน์
576,โฉนด,107876,2705,5047.0,01F073/001,0.0,0.0,33.7,-,-,-,33.7,-,ว่างเปล่า/ไม่ทำประโยชน์
577,โฉนด,136908,2724,6130.0,01F073/002,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
578,โฉนด,136907,2723,6129.0,01F073/003,0.0,0.0,25.5,-,-,-,25.5,-,ว่างเปล่า/ไม่ทำประโยชน์
579,โฉนด,136906,2722,6128.0,01F073/004,0.0,0.0,25.6,-,-,-,25.6,-,ว่างเปล่า/ไม่ทำประโยชน์
636,โฉนด,2190,1381,6503.0,02A003,1.0,0.0,51.7,-,-,-,424.2,-,ว่างเปล่า/ไม่ทำประโยชน์
667,โฉนด,2853,557,1941.0,02B002,0.0,0.0,61.8,-,-,-,61.8,-,ว่างเปล่า/ไม่ทำประโยชน์
688,โฉนด,1850,574,1446.0,02B016,45.0,2.0,12.1,-,-,-,18212.1,-,ว่างเปล่า/ไม่ทำประโยชน์
699,โฉนด,1851,578,1472.0,02B020,2.0,1.0,95.6,-,-,-,995.6,-,ว่างเปล่า/ไม่ทำประโยชน์
702,โฉนด,1853,575,1473.0,02B023,4.0,2.0,90.0,-,-,-,1890.0,-,ว่างเปล่า/ไม่ทำประโยชน์
726,โฉนด,85578,30,4614.0,02C022,1.0,3.0,68.7,-,-,-,768.7,-,ว่างเปล่า/ไม่ทำประโยชน์
732,โฉนด,1701,584,1465.0,02D005,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
733,โฉนด,93849,20,4901.0,02D005/001,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
734,โฉนด,93848,19,4900.0,02D005/002,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
735,โฉนด,93847,18,4899.0,02D005/003,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
736,โฉนด,93846,17,4898.0,02D005/004,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
737,โฉนด,93845,16,4897.0,02D005/005,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
738,โฉนด,93844,15,4896.0,02D005/006,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
739,โฉนด,93843,14,4895.0,02D005/007,0.0,0.0,94.5,-,-,-,94.5,-,ว่างเปล่า/ไม่ทำประโยชน์
768,โฉนด,11159,647,2589.0,02D025,0.0,1.0,29.2,-,-,-,129.2,-,ว่างเปล่า/ไม่ทำประโยชน์
769,โฉนด,11160,646,2590.0,02D026,0.0,1.0,33.5,-,-,-,133.5,-,ว่างเปล่า/ไม่ทำประโยชน์
770,โฉนด,11073,634,2556.0,02D027,0.0,1.0,2.3,-,-,-,102.3,-,ว่างเปล่า/ไม่ทำประโยชน์
771,โฉนด,11161,645,2591.0,02D028,0.0,1.0,8.0,-,-,-,108.0,-,ว่างเปล่า/ไม่ทำประโยชน์
772,โฉนด,11074,635,2557.0,02D029,0.0,1.0,2.1,-,-,-,102.1,-,ว่างเปล่า/ไม่ทำประโยชน์
773,โฉนด,11162,644,2592.0,02D030,0.0,1.0,19.7,-,-,-,119.7,-,ว่างเปล่า/ไม่ทำประโยชน์
774,โฉนด,11163,643,2593.0,02D031,0.0,1.0,31.4,-,-,-,131.4,-,ว่างเปล่า/ไม่ทำประโยชน์
775,โฉนด,11075,636,2558.0,02D032,0.0,1.0,2.7,-,-,-,102.7,-,ว่างเปล่า/ไม่ทำประโยชน์
776,โฉนด,11076,637,2559.0,02D033,0.0,1.0,3.2,-,-,-,103.2,-,ว่างเปล่า/ไม่ทำประโยชน์
778,โฉนด,11078,639,2561.0,02D035,0.0,1.0,4.3,-,-,-,104.3,-,ว่างเปล่า/ไม่ทำประโยชน์
779,โฉนด,11164,18,7211.0,02D036,0.0,1.0,37.4,-,-,-,137.4,-,ว่างเปล่า/ไม่ทำประโยชน์
