ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),ลักษณะการทำประโยชน์
96,โฉนด,112915,26,5057.0,01B010/002,0.0,0.0,6.1,6.1,ประกอบเกษตรกรรม
122,โฉนด,2313,292,1397.0,01B033,0.0,0.0,67.1,67.1,ประกอบเกษตรกรรม
148,โฉนด,87180,35,4791.0,01C004/004,0.0,0.0,14.2,14.2,ประกอบเกษตรกรรม
152,โฉนด,1321,339,1380.0,01C008,0.0,0.0,64.0,64.0,ประกอบเกษตรกรรม
163,โฉนด,1272,357,1375.0,01C019,0.0,1.0,49.5,149.5,ประกอบเกษตรกรรม
169,โฉนด,1273,356,1374.0,01C021,0.0,1.0,73.6,173.6,ประกอบเกษตรกรรม
219,โฉนด,67537,2530,4324.0,01D001/006,0.0,0.0,84.0,84.0,ประกอบเกษตรกรรม
249,โฉนด,67066,2581,4284.0,01D016/001,0.0,0.0,81.6,81.6,ประกอบเกษตรกรรม
343,โฉนด,137965,634,6184.0,01D059,0.0,0.0,77.2,77.2,ประกอบเกษตรกรรม
457,โฉนด,98028,31,4939.0,01F002/001,0.0,0.0,28.7,28.7,ประกอบเกษตรกรรม
472,โฉนด,8199,1197,2323.0,01F015,0.0,2.0,10.4,210.4,ประกอบเกษตรกรรม
474,โฉนด,8201,1199,2325.0,01F017,0.0,2.0,9.0,209.0,ประกอบเกษตรกรรม
482,โฉนด,144905,177,6525.0,01F024/001,0.0,1.0,58.0,158.0,ประกอบเกษตรกรรม
491,โฉนด,328,1103,595.0,01F032,0.0,0.0,57.8,57.8,ประกอบเกษตรกรรม
495,โฉนด,325,1156,592.0,01F035,0.0,1.0,51.0,151.0,ประกอบเกษตรกรรม
556,โฉนด,673,1196,641.0,01F058,0.0,1.0,34.7,134.7,ประกอบเกษตรกรรม
564,โฉนด,18898,2123,3049.0,01F065,0.0,0.0,70.2,70.2,ประกอบเกษตรกรรม
568,โฉนด,947,2124,1700.0,01F066,0.0,0.0,71.6,71.6,ประกอบเกษตรกรรม
569,โฉนด,937,2125,645.0,01F067,0.0,0.0,81.9,81.9,ประกอบเกษตรกรรม
580,โฉนด,136905,2721,6127.0,01F073/005,0.0,0.0,25.5,25.5,ประกอบเกษตรกรรม
581,โฉนด,136904,2720,6126.0,01F073/006,0.0,0.0,25.5,25.5,ประกอบเกษตรกรรม
825,โฉนด,11262,630,2692.0,02D076,0.0,1.0,12.8,112.8,ประกอบเกษตรกรรม
826,โฉนด,11263,629,2693.0,02D077,0.0,1.0,13.2,113.2,ประกอบเกษตรกรรม
985,โฉนด,142555,994,6477.0,02E146/001,0.0,2.0,0.0,200.0,ประกอบเกษตรกรรม
1009,โฉนด,132818,701,5852.0,02E163/006,0.0,1.0,16.1,116.1,ประกอบเกษตรกรรม
1036,โฉนด,131184,1044,5514.0,02F010/001,0.0,0.0,81.9,81.9,ประกอบเกษตรกรรม
1039,โฉนด,139834,1070,6275.0,02F011/001,0.0,0.0,92.6,92.6,ประกอบเกษตรกรรม
1520,โฉนด,209,2192,384.0,02L032,0.0,0.0,61.4,61.4,ประกอบเกษตรกรรม
1534,โฉนด,338,2201,376.0,02L045,0.0,0.0,94.2,94.2,ประกอบเกษตรกรรม
1545,โฉนด,197,2243,372.0,02L053,0.0,0.0,76.3,76.3,ประกอบเกษตรกรรม
1584,โฉนด,49940,910,3911.0,03A016/001,0.0,2.0,47.1,247.1,ประกอบเกษตรกรรม
1615,โฉนด,1867,956,1521.0,03B004,3.0,0.0,51.9,1251.9,ประกอบเกษตรกรรม
1714,โฉนด,10939,1083,2502.0,03D040,0.0,1.0,35.0,135.0,ประกอบเกษตรกรรม
1715,โฉนด,10938,1082,2501.0,03D041,0.0,1.0,34.8,134.8,ประกอบเกษตรกรรม
1761,โฉนด,98754,33,4947.0,03D080/001,0.0,0.0,59.1,59.1,ประกอบเกษตรกรรม
1866,โฉนด,138161,28,6185.0,03E032/001,0.0,1.0,71.6,171.6,ประกอบเกษตรกรรม
1869,โฉนด,138163,30,6187.0,03E032/004,0.0,0.0,85.8,85.8,ประกอบเกษตรกรรม
1957,โฉนด,11121,1414,2581.0,03F045,0.0,0.0,53.7,53.7,ประกอบเกษตรกรรม
2096,โฉนด,18840,1175,3041.0,03G015,0.0,1.0,0.0,100.0,ประกอบเกษตรกรรม
2142,โฉนด,2909,2492,1965.0,03G049,0.0,1.0,11.4,111.4,ประกอบเกษตรกรรม
2186,โฉนด,69523,1,4336.0,03G079,0.0,2.0,2.8,202.8,ประกอบเกษตรกรรม
2262,โฉนด,898,2428,518.0,03H057,0.0,0.0,49.0,49.0,ประกอบเกษตรกรรม
3177,โฉนด,891,1637,195.0,04D151,0.0,0.0,98.4,98.4,ประกอบเกษตรกรรม
3179,โฉนด,453,1638,223.0,04D153,0.0,0.0,54.5,54.5,ประกอบเกษตรกรรม
3185,โฉนด,30492,1665,3692.0,04D158/001,0.0,0.0,9.0,9.0,ประกอบเกษตรกรรม
3186,โฉนด,30491,1662,3691.0,04D158/002,0.0,0.0,77.3,77.3,ประกอบเกษตรกรรม
3187,โฉนด,54765,1664,3999.0,04D158/004,0.0,0.0,2.6,2.6,ประกอบเกษตรกรรม
3420,โฉนด,20082,1824,4196.0,05A118,0.0,1.0,3.0,103.0,ประกอบเกษตรกรรม
3626,โฉนด,121546,1794,6476.0,05C051/001,0.0,0.0,92.1,92.1,ประกอบเกษตรกรรม
3649,โฉนด,8888,2001,1350.0,05C059,0.0,1.0,8.0,108.0,ประกอบเกษตรกรรม
3750,โฉนด,128167,2151,13321.0,05C160/005,0.0,1.0,62.0,162.0,ประกอบเกษตรกรรม
3944,โฉนด,11582,1751,2911.0,05F016,0.0,0.0,90.6,90.6,ประกอบเกษตรกรรม
3992,โฉนด,11629,299,2958.0,05F063,0.0,1.0,14.8,114.8,ประกอบเกษตรกรรม
3993,โฉนด,11630,300,2959.0,05F064,0.0,1.0,11.9,111.9,ประกอบเกษตรกรรม
3994,โฉนด,11631,302,2960.0,05F065,0.0,1.0,13.3,113.3,ประกอบเกษตรกรรม
3995,โฉนด,11632,301,2961.0,05F066,0.0,1.0,7.0,107.0,ประกอบเกษตรกรรม
4102,โฉนด,2780,368,1888.0,05G043,0.0,1.0,97.9,197.9,ประกอบเกษตรกรรม
4103,โฉนด,2779,367,1887.0,05G044,0.0,2.0,1.6,201.6,ประกอบเกษตรกรรม
