ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),ลักษณะการทำประโยชน์
1584,โฉนด,49940,910,3911.0,03A016/001,0.0,2.0,47.1,247.1,ประกอบเกษตรกรรม
1615,โฉนด,1867,956,1521.0,03B004,3.0,0.0,51.9,1251.9,ประกอบเกษตรกรรม
1714,โฉนด,10939,1083,2502.0,03D040,0.0,1.0,35.0,135.0,ประกอบเกษตรกรรม
1715,โฉนด,10938,1082,2501.0,03D041,0.0,1.0,34.8,134.8,ประกอบเกษตรกรรม
1761,โฉนด,98754,33,4947.0,03D080/001,0.0,0.0,59.1,59.1,ประกอบเกษตรกรรม
1866,โฉนด,138161,28,6185.0,03E032/001,0.0,1.0,71.6,171.6,ประกอบเกษตรกรรม
1869,โฉนด,138163,30,6187.0,03E032/004,0.0,0.0,85.8,85.8,ประกอบเกษตรกรรม
1871,โฉนด,1120,1213,1599.0,03E034,0.0,0.0,75.0,75.0,ประกอบเกษตรกรรม
1957,โฉนด,11121,1414,2581.0,03F045,0.0,0.0,53.7,53.7,ประกอบเกษตรกรรม
2096,โฉนด,18840,1175,3041.0,03G015,0.0,1.0,0.0,100.0,ประกอบเกษตรกรรม
2099,โฉนด,18840,1175,3041.0,03G018,0.0,2.0,0.6,200.6,ประกอบเกษตรกรรม
2142,โฉนด,2909,2492,1965.0,03G049,0.0,1.0,11.4,111.4,ประกอบเกษตรกรรม
2186,โฉนด,69523,1,4336.0,03G079,0.0,2.0,2.8,202.8,ประกอบเกษตรกรรม
2262,โฉนด,898,2428,518.0,03H057,0.0,0.0,49.0,49.0,ประกอบเกษตรกรรม
