ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
7,โฉนด,2050,1390,1435.0,01A006,0.0,0.0,93.0,-,-,-,93.0,-,ว่างเปล่า/ไม่ทำประโยชน์
13,โฉนด,26930,1393,3452.0,01A009/002,0.0,0.0,82.5,-,-,-,82.5,-,ว่างเปล่า/ไม่ทำประโยชน์
93,โฉนด,112915,26,5057.0,01B010/002,0.0,0.0,6.1,-,-,-,6.1,-,ว่างเปล่า/ไม่ทำประโยชน์
98,โฉนด,2333,238,1407.0,01B015,0.0,1.0,14.7,-,-,-,114.7,-,ว่างเปล่า/ไม่ทำประโยชน์
118,โฉนด,2313,292,1397.0,01B033,0.0,0.0,67.1,-,-,-,67.1,-,ว่างเปล่า/ไม่ทำประโยชน์
144,โฉนด,87180,35,4791.0,01C004/004,0.0,0.0,14.2,-,-,-,14.2,-,ว่างเปล่า/ไม่ทำประโยชน์
148,โฉนด,1321,339,1380.0,01C008,0.0,0.0,64.0,-,-,-,64.0,-,ว่างเปล่า/ไม่ทำประโยชน์
159,โฉนด,1272,357,1375.0,01C019,0.0,1.0,49.5,-,-,-,149.5,-,ว่างเปล่า/ไม่ทำประโยชน์
165,โฉนด,1273,356,1374.0,01C021,0.0,1.0,73.6,-,-,-,173.6,-,ว่างเปล่า/ไม่ทำประโยชน์
178,โฉนด,139335,460,6246.0,01C032/001,0.0,0.0,17.7,-,-,-,17.7,-,ว่างเปล่า/ไม่ทำประโยชน์
215,โฉนด,67537,2530,4324.0,01D001/006,0.0,0.0,84.0,-,-,-,84.0,-,ว่างเปล่า/ไม่ทำประโยชน์
222,โฉนด,1165,660,1346.0,01D007,0.0,0.0,80.7,-,-,-,80.7,-,ว่างเปล่า/ไม่ทำประโยชน์
232,โฉนด,67066,2581,4284.0,01D016/001,0.0,0.0,81.6,-,-,-,81.6,-,ว่างเปล่า/ไม่ทำประโยชน์
260,โฉนด,1012,683,1082.0,01D029,0.0,2.0,20.8,-,-,-,220.8,-,ว่างเปล่า/ไม่ทำประโยชน์
